Timestamp,What is your gender?,What's your age? (please enter as a number),Name of the professor you'd like to review?,Course Name? (ex: Comp Sci 61A),Professor's Gender,Write a constructive and honest review of the professor.
7/10/2020 1:58:37,Female,19,Agnelo Menezes,Microeconomics,Male,"He strongly believed in applying the theory we learnt to practice. Continuously gave practical examples to help us understand concepts better. Often times, he went very fast for people to understand concepts fully. However, he was very approachable and would take extra time and effort to solve doubts.  "
7/10/2020 2:09:12,Male,19,Philip Wood,Math 53,Male,"Very articulate, fair prof. Would recommend for others to take his class."
7/10/2020 2:26:37,Female,18,Jac Asher,GWS 50AC,Female,Likely my favorite professor by far. Dr Asher was extremely friendly and welcoming in all of her interactions during lecture. She was a very genuine person and conveyed that through the dedication and passion in her work. Very grateful to have been taught by her.
7/10/2020 2:51:10,Male,19,Zvezdelina Stankova,Math 10B,Female,She was a fast moving professor who made the class much more difficult than it needed to be and was appropriate at the time due to the COVID-19 pandemic. This included making the commitment required for the class two times greater than it previously required. The class should’ve been counted for more units. She was impatient and would feel lost after every lecture and unable to approach her for help. 
7/10/2020 2:58:50,Female,27,Prof.  Dr. König,Strategic Management and Innovation,Male,"Mr. König is for me the only professor that I take courses at university that I honestly can describe as an example. He is so knowledgable and funny at the same time. His classes pass by really quickly. He is doing research on many interesting and new topics like digitalization, innovation, start-ups and entrepreneurship in general. "
7/10/2020 3:00:41,Female,30,Michelle Marchiano,ESL 273,Female,Take her class to improve your writing skill. She is a very good professor.
7/10/2020 3:16:42,Male,19,Dan Garcia,CS10,Male,Very caring and fun professor who tries very hard to make the class interesting and engaging
7/10/2020 3:34:31,Female,23,a professor of marketing communication - Devi,Marketing Communications,Female,"she is very keen, knowledgeable, clearly present and explain the subject to others, provide sufficient support during the assessment time "
7/10/2020 6:57:10,Female,25,fuat balci,psyc210,Male,real antipathic smart pants
7/10/2020 11:42:23,Male,19,Professor Kosek,Geog 10 AC,Male,"Kosek is extremely passionate about geography and gives engaging and informative lectures. The class changed how to view the world around me and made me think more deeply about why things are the way they are. However, Kosek struggles to enforce the readings, which results in lecture having more review than necessary for those that did do the readings."
7/10/2020 12:42:41,Female,39,Villavicencio ,Math125,Male,He was the best teacher for me after trying 3 times to pass this class he is very easy to understand and very flexible with students and the assignments were easy. He gave us resources to help us out and I highly recommend him.The best teacher I ever meet.
7/10/2020 14:21:49,Male,19,Charles Nyce,RMI 2302,Male,Great professor explained the course very well provided extra credit opportunities and made it virtually impossible to not pass. Tests were fair study and you will pass 
7/10/2020 14:31:41,Male,20,Min z ,ps 2,Male,was not helpful for office hours
7/10/2020 16:34:55,Female,19,John De Nero,CS 61A,Male,"I really like John! He cares a lot about his students and wants them to do well and learn a lot. He also makes really good lecture videos, which was helpful when we had to leave campus and do online school. His projects and exams are difficult, but you will learn a lot in his class! "
7/10/2020 19:59:06,Female,19,Paulin,Math 1B,Male,"Really fun guy that truly is passionate about calculus and math in general. Tried his best especially with the move online. Sometimes he overcomplicates things when he explains, but provides the students with lots of information and resources for success. "
7/11/2020 0:58:36,Female,19,Amir Hussain,Honors Theological Inquiry,Male,This was the best professor I have had at LMU thus far. He was compassionate towards student and wanted to get to know them. He was also EXTREMELY knowledgeable. It was awesome that I got to learn from him. I love how he incorporated things he loved into the course
7/11/2020 1:04:47,Female,19,Zvezda Stankova,Math 10B,Female,"Loved her! Her lectures were always fun and lively. However, she did have a tendency to move through the material very quickly. If you do her pdf readings before lectures its manageable though. "
7/11/2020 1:05:21,Male,20,MaryAnn Robak,"CHEM 3A, CHEM 3B",Female,"She was the best teacher I’ve ever had at Cal. She was understanding of her students’ needs, she effectively taught the material in a way that made it easy for students to learn, and she made sure to give us all the tools and materials we needed to successful get through her class. Professor Robak is such a kind and knowledgeable professor that I don’t know how I could have made it through the O-Chem series with her. "
7/11/2020 4:06:55,Female,21,Helian Ratsirarson ,ESCI 1,Female,Helian is a really good Professor and the assignments were quite easy to nail. 
7/11/2020 14:05:08,Female,19,Celeste Kidd,psych 147,Female,She was one of the best and most understanding professors. She’s always there to listen and willing to help. 
7/11/2020 16:15:29,Male,20,Gray,Chem 12A,Male,He's one of the best chemistry instructors I've ever taken. I took him for the entire organic chemistry sequence and he was excellent. 
7/11/2020 16:41:09,Female,19,ED 4A,Marcus Owens ,Male,"I trust that he has the knowledge to teach a module in the class but it's unfortunate that the delivery of the information is unorganized in transitioning from one idea to the next, spoken to quickly and loudly, and overall just hard to understand. Lack of presentation skills makes it hard to understand and learn. "
7/11/2020 17:10:25,Female,20,Caitlyn Rosenthal,History 133A,Female,"She did a great job engaging students in lecture, producing clear expectations and grading criteria, and choosing readings & course material that made the course interesting & useful. I wish the GSIs had had degrees that were more closely related to the course material, and I wish that the discussions during lecture were cut shorter sometimes. But overall, a really great class."
7/12/2020 14:28:31,Male,25,Mark Mueller,ME236U,Male,"Professor Mueller was a fantastic Professor. He organized the class around a semester long lab culminating in a class competition which both gave a backbone to the class and a sense of personal pride in the project. He gave students multiple avenues to learn by writing notes on a tablet, recording the class, and posting the recordings and PDFs as well as posting his formal types notes and additional practice problem sets. The homework was difficult but relevant to the material. My only gripe was he would often dive deep into the mathematical proofs behind certain algorithms - and I felt that he felt the need to mathematically prove everything, rather than let us take his word it was true. Otherwise, he was always very personal and welcoming in office hours and I enjoyed his class very much."
7/12/2020 19:50:03,Male,20,Dr. MaryAnn Robak,Chem 3B,Female,"MaryAnn is one of my favorite lecturers. She took a subject that many warned me about and taught it in a very clear way. The exams, although difficult, were always based on concepts from the lecture notes and problem sets. Her lectures weren’t boring but admittedly I would occasionally zone out. Lastly, the most important thing to know about her is that she cares a lot about her students’ success."
7/14/2020 21:28:04,Female,19,Arial baker gibbs,R1b,Female,She was a great professor!!! I loved learning in her class and she was very understanding of different and difficult circumstances
7/14/2020 21:41:15,Female,25,Holly Eklund,Calculus III,Female,"Holly Eklund is a great Calc 3 professor who organizes her material neatly and logically. Her course was very structured: a type of problem would be introduced and then she would go through multiple examples with increasing difficulty, which I found very helpful. However, her pace was extremely rigorous, so it was difficult to absorb the material while in class-- I found myself struggling to just keep up with writing down all of the examples and then having to review the material on my own time, which meant I couldn't ask questions in class. I think that the content of the class was thoughtfully chosen, but I would have like for there to have been more time to ask questions and think about the material while in class at the cost of one or two examples."
7/14/2020 22:21:05,Female,19,Dan Garcia,CS 10,Male,11/10 most caring and compassionate professor ever! You can feel his vibrant energy walking into the room! He knows his students and encourages everyone to participate and feel belonged in his class. Every staff in the class I've met are super sweet and patient! 
7/14/2020 23:56:08,Male,18,Kim Freeman,R4A: Stories in Sustainability,Female,Professor Freeman has great enthusiasm for the subject and expresses it quite well. I really enjoyed the selected texts in the classroom – a great mix between current relevant stories as well as some more abstract pieces that discuss the role of society and capitalism in the climate crisis. She also encouraged we visit museums to get a first hand look.
7/14/2020 23:59:20,Male,18,Christopher Grabowski ,The Acting Company,Male,I had him for the course stated above as well as my intro to drama course and he was one of the nicest most effective professors I have had in college. He makes every student feel apart of a company and is extremely easy to talk to.
7/15/2020 1:13:01,Male,19,Professor Stahler,Physics 7c,Male,Stahler was a fantastic professor! He really look the time to articulate difficult concepts in a way that any student could grasp. While we still had in person classes he would always do demonstrations that were very helpful. I appreciated his enthusiasm for the history’s of relativity quantum mechanics. He would often read excerpts from Einstein’s various books to the class!
7/15/2020 17:49:53,Male,19,W. Ethan Eagle,ENES100 (Engineering Design),Male,"Ethan was the first engineering professor I had at UMD, he taught my section of Engineering Design first semester of freshmen year. ENES100 was essential two things, intro to the engineering process and intro to mechatronic design, in which we worked in teams to build robotic platforms to perform multiple given tasks. Ethan was THE MAN. He had a great sense of humor and was very easy-going while teaching our engineering class. He was very approachable and willing to help out with every aspect of our robot, whether it was coding, circuitry, or the math behind the mechanical requirements of the robot. I think that Ethan, as well as our TA, were both able to connect with the students, making the effort to learn about the students' lives and academic careers. Overall, his ability to connect with myself and my classmates in a chaotic and fast-paced engineering class made him stand out among the professors I've had so far, and his great personality and sense of humor made him a fantastic teacher and person."
7/15/2020 23:38:24,Male,18,Alexander Paulin,Math 1B,Male,A very clear accommodating professor that strives to help his students learn the concepts of calculus at a deeper level. Gives a very reasonable amount of work through weekly homework assignments and provides many resources for help.
7/16/2020 10:30:33,Male,19,Todd Rossi,Engineering Mechanics: Statics,Male,"The class being set up in many different sections and for various schedules ,with nearly 600 hundred students in total, and 3 professors. The course also shared the same midterms as well as final, so the curriculum was based on a single powerpoint. My professor though creating the PowerPoint was disorganized and had primarily spent lecture answering questIons about homework problems from students who obviously skipped recitation where you ask these questions. The big problem was unlike the other professors, he took nearly 15-20 mins to answers a simple kinematics physics styled questions which happened every class period. Went it came to the slides with loss of time from before he had sped through barely covering the material. Instead of going to lecture I read the textbook and got an A.  As a professor he offered little to no engagement in the material, while also failing to cover the lecture in details and instead reading directly from the PowerPoint."
7/16/2020 12:22:50,Female,20,Debra Borkovitz,Math 242,Female,"She is a very personable professor, and she makes students feel comfortable. It is easy to talk to her and ask her questions. She mostly left students to their own devices and let us teach ourselves the material in small groups (the class only had about 30 people), but I wish she had taken the lead and given us more direction. "
7/16/2020 12:50:04,Female,20,Dave Sullivan,Comp Sci 111,Male,"He was VERY thorough and encouraged a lot of class participation, which was nice for a large class (around 150 people). Very nice guy, and wanted us all to succeed. "
7/16/2020 16:48:03,Female,19,Gentry Patrick,BILD 1,Male,"incredibly thorough and knowledgeable on the subject; lectures were detailed and provided real-world applications of concepts to demonstrate the opportunities for a career in the biological sciences. exams were representative of course material, and professor was very acclimating with the quick change to online learning. "
7/18/2020 12:37:00,Female,21,Thomas Kelley,CCJ 3032-Crime and Media,Male,"The professor did not have a course structure that required any actual learning, and urilized TA’s so frequently that I do not think I ever had communication with the professor. He failed to structure the course to be beneficial to students. That being said, he was very lenient with grades and chose a quality textbook for the course-too bad no one had to use it. His exams were all online, his discussion boards could be copied from other students in the course section, and the papers required for an upper-division writing course were laughable. "
7/19/2020 22:51:48,Female,19,Ana Paula Centeno,CS111 Introduction to Computer Science,Female,"Prof. Centeno is one of the best professors I have ever had. She has such a passion for computer science as well as helping students, which really shines through in the way she engages with people in her lectures. A huge lecture hall feels so personal with her as a teacher. She encourages all questions and is happy to expand upon topics when someone does not fully understand something. She's genuinely the best professor to have for someone without prior computer science experience. Her assignments could be confusing at times, but she was always prompt in her communication and clarified things adequately. We used Piazza to ask questions as well, which facilitated the communication after the quarantine. We had WebEx meetings which were recorded as well. Her communication skills and enthusiasm makes her a truly awesome professor."
7/20/2020 3:30:30,Female,18,Mylinh Pham,Hist 17A,Female,Best professor at De Anza College. I repeat BEST PROFESSOR! She's not only humorous but also very caring and wants her students to succeed.
